IP Year,Investment Name,Project Details,Department,Service Area,Investment Type,Capital Cost,Percent Funded,Class Estimate,SPAP Theme,Lifecycle Activity Driver,Neighbourhood,Ward,Location,Funded,Unfunded,Funding Year,Growth Enabling or Supportive,Previously Approved Project Funding,GAHP,Rank,Disposal,Preliminary Capital Cost 10 Year,Preliminary Funded 10 Year,Preliminary Unfunded 10 Year,Preliminary Capital Cost 6 Year,Preliminary Funded 6 Year,Preliminary Unfunded 6 Year
2024,In Car Computing,"The mobile computing technology in Winnipeg Police Service (WPS) vehicles must be evergreened every five years due to the obsolescence of this equipment and the harsh environment to which they are subjected. Currently 235 vehicles require mobile computing devices plus a small contingency for spare devices. This includes the evergreening of laptops/tablets and keyboards, docks, modems, antennae, mounting equipment and associated cabling necessary to maintain connectivity with WPS public safety systems. Ergonomically placed computing devices in vehicles are critical for prevention of injuries to police officers.",Winnipeg Police Service,Police Services,Project,$0,100%,4,Corporate Management and Support,Upgrade,,,,0,0,2028,,,N,1,,,,,,,
2024,Abinojii Mikanah Greenway - pedestrian overpass of Pembina Hwy,The proposed project involves the construction of a walk-bike bridge over Pembina Highway. The bridge will provide safe and uninterrupted east-west connectivity of the Abinojii Mikanah Greenway system and will offer midpoint connectivity for pedestrian and cycling traffic.,Public Works,Active Transportation,Project,$0,0%,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,Agassiz,Waverley West,POINT (-97.15246418 49.81940777),0,0,2031,,,Y,3,,,,,,,
2023,Arlington Bridge Rehabilitation,text,Public Works,Bridges - Regional,Project,"$63,850,000",100%,5,City Building,Renew,Dufferin Industrial,Mynarski,POINT (-97.16028104 49.91439515),"21,000,000",0,2029,,,,,,,,,,,
2024,Osborne Street Underpass AT Improvements,"This project will examine cost effective functional design alternatives for an active transportation grade separation in the vicinity of the Osborne Street Underpass in order to address a gap in the Active Transportation Network to cross the CN mainline. Functional design will also be undertaken to review rehabilitation of the existing underpass to address deficiencies in land drainage, vertical clearance and pavement condition.",Public Works,Roads - Regional,Project,$0,6%,5,A City that Works for Residents through Improved Customer Service,Upgrade,River-Osborne,Fort Rouge - East Fort Garry,POINT (-97.14092029 49.87328292),0,"62,000",2027,,,Y,6,,,,,,,
2023,Community and Neighbourhood Parks,text,Public Works,Parks - Local,Program,"$50,320,000",39%,,Good Health & Well-Being,Renew,,,,"441,000","3,090,000",2023,,,,,,,,,,,
2023,Digital Evidence Management System,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,"$6,260,000",0%,4,City Building,Renew,,,,0,"3,100,000",2023,,,,,,,,,,,
2023,Sewer Renewals,text,Water and Waste,Wastewater,Program,"$211,000,000",100%,,Environmental Resilience,Renew,,,,"22,000,000",0,2031,,,,,,,,,,,
2023,Combined Sewer Overflow and Basement Flood Management Strategy: District Sewer Separation,text,Water and Waste,Wastewater,Program,"$368,500,000",100%,,Environmental Resilience,Upgrade,,,,"47,000,000",0,2027,,,,,,,,,,,
2024,Wading Pool & Spray Pad Capital Renewal Program,"The wading pool and spray pad capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to wading pools and spray pads owned and operated by the City of Winnipeg. Projects may include deck and basin repairs, replacement of liners, renewal of play components and amenities, improvements to water circulation and filtration systems, mechanical, and electrical systems, accessibility improvements, and improvements to associated support buildings and site amenities including washrooms, change rooms, seating areas, secure bike, and parking areas.",Assets and Project Management,Recreation,Program,$0,0%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,"5,752,000",2030,,,N,18,,,,,,,
2023,Outfall Rehabilitation,text,Water and Waste,Land Drainage & Flood Control,Program,"$23,200,000",100%,,Environmental Resilience,Renew,,,,"2,000,000",0,2028,,,,,,,,,,,
2024,Wheel Chair Securements - Retro fit,"This program will support the retro fit of wheelchair securements on existing buses purchased before 2021. Beginning in 2021 all new buses received will be equipped with wheelchair securements that will meet the Accessibility for Manitobans Act (AMA) regulations. The AMA is proposed provincial legislation which mandates accessibility regulations that are not elective and must be met. The transportation regulations themselves are currently in development, and are expected to be issued soon. This retrofit project, in addition to making the ride safer for all passengers including the most vulnerable, would allow customers to use both Winnipeg Transit Plus and conventional transit together to complete a trip. This approach is expected to provide more independence and flexibility for customers.",Winnipeg Transit,Public Transit,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2029,,,N,5,,,,,,,
2023,Water Meter Renewals,text,Water and Waste,Water,Project,"$150,000,000",100%,5,Leadership & Good Governance,Renew,,,,"16,000,000",0,2025,,,,,,,,,,,
2023,Health/Life Safety/Emergency Systems Refurbishment/City-Wide Accessibility,text,Assets and Project Management,"Dev Approval, Bldg, Permits & Insp",Program,"$1,103,849,000",1%,,Good Health & Well-Being,Renew,,,,"2,311,000","41,433,000",2027,,,,,,,,,,,
2024,Water Main Renewals,"This is a continuing program to replace and/or rehabilitate deteriorating water main infrastructure. Funding is used for water main replacement, cathodic protection, valve and hydrant replacement/rehabilitation, correction of dead end mains, upgrading of substandard mains, water system studies, assessments, development of design standards and replacement of problem water services within the City right-of-way, and hydraulic improvements for fire protection purposes. Funding is also used for integrated right-of-way renewal programs coordinated with the Public Works Department.",Water and Waste,Water,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"28,000,000",0,2032,,,N,12,,,,,,,
2023,Lift Station Upgrading: Station Rehabilitation,text,Water and Waste,Wastewater,Program,"$67,050,000",100%,,Environmental Resilience,Upgrade,,,,"6,250,000",0,2023,,,,,,,,,,,
2023,Customer Billing and Work Management Systems Upgrades Program,text,Water and Waste,Wastewater,Program,"$9,080,000",100%,,Environmental Resilience,Upgrade,,,,"180,000",0,2028,,,,,,,,,,,
2024,Consolidate Central and North St Boniface Stations,Consolidation of Station 2 (55 Watt St.) and Station 3 (337 Rue DeMeurons) into a single fit-for-purpose station on existing city land.,Fire Paramedic Service,Fire & Rescue Response,Project,$0,0%,5,"A Livable, Safe, Healthy, Happy City",Renew,Central St. Boniface,St. Boniface,POINT (-97.11060219 49.88512328),0,0,2033,,,N,9,,,,,,,
2023,Water Treatment Plant Asset Refurbishment and Replacement Program,text,Water and Waste,Water,Program,"$29,650,000",100%,,Environmental Resilience,Renew,,,,"2,000,000",0,2030,,,,,,,,,,,
2024,Fort Garry Lions Outdoor Pool Redevelopment,"The existing outdoor pool at this site is in poor condition, does not meet current accessibility standards nor provide adequate play value and amenities to serve this community or meet levels of service. The new pool will include contemporary pool features such as an accessible pool access ramp, slides, spray features, shaded seating areas, diving board(s) and a new pool change/washroom and mechanical system building.",Community Services,Recreation,Project,"$8,404,000",0%,5,"A Livable, Safe, Healthy, Happy City",Upgrade,Crescent Park,Fort Rouge - East Fort Garry,POINT (-97.150292 49.840102),0,0,2024,,,Y,16,,,,,,,
2023,Soil Fabrication for Landfill Cover,text,Water and Waste,Solid Waste,Program,"$7,850,000",100%,,Environmental Resilience,Upgrade,,,,"1,350,000",0,2024,,,,,,,,,,,
2024,Flood Pumping Station Rehabilitation,"A 2007 report on the adequacy and operation of the City’s regional flood pumping stations identified station upgrades required in the near and long term. These upgrades improve overall station reliability during high river levels and rainfall events and may include changes to ventilation, electrical, mechanical, structural, or architectural components of the stations and associated structures, chambers, weirs, outfall pipes, and gates. A program to address high priority reliability items has been developed for implementation. All stations will be upgraded for remote monitoring which is critical during flood and rainfall events.",Water and Waste,Land Drainage & Flood Control,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"1,500,000",0,2026,,,N,1,,,,,,,
2024,Evidence Archive Building,Additional secure storage is required to house long term exhibits for sex crimes and murders. Maximum capacity is projected to be reached within the next 5 years.  Options for 20 years of additional capacity are being developed.,Winnipeg Police Service,Police Services,Project,"$9,019,000",0%,4,"A Livable, Safe, Healthy, Happy City",Growth,,,,0,0,2024,,,N,5,,,,,,,
2023,Parks Buildings - Agreements,text,Public Works,Parks - Local,Program,"$12,311,000",0%,,Good Health & Well-Being,Renew,,,,0,"1,500,000",2032,,,,,,,,,,,
2023,Arenas Structural Repairs Program,text,Assets and Project Management,Recreation,Program,"$12,915,000",0%,,Economic Prosperity,Renew,,,,0,"2,228,000",2027,,,,,,,,,,,
2024,Indoor Aquatics and Rec Centres Capital Renewal Program,"The indoor aquatic and recreation centre capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to 12 indoor aquatic and recreation centres owned and operated by the City of Winnipeg. Projects may include building envelope and structural improvements, improvements to mechanical and electrical systems including heating, ventilation and lighting, accessibility projects, and other interior improvements.",Assets and Project Management,Recreation,Program,$0,0%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,"24,662,000",2033,,,N,13,,,,,,,
2024,Facility Optimization - Waverley West Station,"With this capital funding the Winnipeg Fire Paramedic Service seeks to maximize the efficiency of the station network. This is achieved through relocations, replacements, and major enhancements to stations that help reduce costs but maintain the desired level of response.",Fire Paramedic Service,Fire & Rescue Response,Project,"$12,215,000",100%,4,"A Livable, Safe, Healthy, Happy City",Upgrade,Waverley West B,Waverley West,POINT (-97.18796535 49.79664178),0,0,2024,Growth-supportive infrastructure,"2,105,000",N,4,,,,,,,
2023,Regional Parks,text,Public Works,Parks - Regional,Program,"$21,555,000",100%,,Good Health & Well-Being,Operations & Maintenance,,,,"2,005,000",0,2026,,,,,,,,,,,
2024,Asset Refurbishment and Replacement Program: Projects,"A risk and criticality review of the City's three sewage treatment plants has been undertaken to assess the condition of assets and to develop a refurbishment and replacement plan for the next 25 years. The improvements identified will address process reliability, mechanical, electrical, structural components, building envelope, and safety at all three locations including any related works required such as environmental studies/assessments or decommissioning of assets. Operational efficiency improvements will also be identified and implemented in a coordinated fashion with the enhanced maintenance program.",Water and Waste,Wastewater,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"6,500,000",0,2032,,,N,18,,,,,,,
